dt,demand
2018-01-14 00:00:00,-1.0
2018-01-14 01:00:00,4002.0
2018-01-14 02:00:00,3924.0
2018-01-14 03:00:00,3785.0
2018-01-14 04:00:00,3690.0
2018-01-14 05:00:00,3633.0
2018-01-14 06:00:00,3799.0
2018-01-14 07:00:00,4138.0
2018-01-14 08:00:00,4576.0
2018-01-14 09:00:00,4720.0
2018-01-14 10:00:00,4676.0
2018-01-14 11:00:00,4587.0
2018-01-14 12:00:00,4541.0
2018-01-14 13:00:00,4577.0
2018-01-14 14:00:00,4279.0
2018-01-14 15:00:00,4275.0
2018-01-14 16:00:00,4243.0
2018-01-14 17:00:00,4474.0
2018-01-14 18:00:00,5105.0
2018-01-14 19:00:00,5465.0
2018-01-14 20:00:00,5474.0
2018-01-14 21:00:00,5359.0
2018-01-14 22:00:00,5020.0
2018-01-14 23:00:00,4677.0
2018-01-15 00:00:00,4235.0
2018-01-15 01:00:00,4033.0
2018-01-15 02:00:00,3902.0
2018-01-15 03:00:00,3758.0
2018-01-15 04:00:00,3678.0
2018-01-15 05:00:00,3666.0
2018-01-15 06:00:00,3765.0
2018-01-15 07:00:00,4133.0
2018-01-15 08:00:00,4525.1
2018-01-15 09:00:00,4704.3
2018-01-15 10:00:00,4488.5
2018-01-15 11:00:00,4432.6
2018-01-15 12:00:00,4548.5
2018-01-15 13:00:00,4568.6
2018-01-15 14:00:00,4353.0
2018-01-15 15:00:00,4434.0
2018-01-15 16:00:00,4225.0
2018-01-15 17:00:00,4358.0
2018-01-15 18:00:00,5228.0
2018-01-15 19:00:00,5666.0
2018-01-15 20:00:00,5652.0
2018-01-15 21:00:00,5554.0
2018-01-15 22:00:00,5095.0
2018-01-15 23:00:00,4791.0
2018-01-16 00:00:00,4366.0
2018-01-16 01:00:00,4125.0
2018-01-16 02:00:00,3942.0
2018-01-16 03:00:00,3804.0
2018-01-16 04:00:00,3714.0
2018-01-16 05:00:00,3669.0
2018-01-16 06:00:00,3831.0
2018-01-16 07:00:00,4183.0
2018-01-16 08:00:00,4590.1
2018-01-16 09:00:00,4869.4
2018-01-16 10:00:00,4570.9
2018-01-16 11:00:00,4445.6
2018-01-16 12:00:00,4546.7
2018-01-16 13:00:00,4464.67
2018-01-16 14:00:00,4338.32
2018-01-16 15:00:00,4434.9
2018-01-16 16:00:00,4478.4
2018-01-16 17:00:00,4595.0
2018-01-16 18:00:00,5370.0
2018-01-16 19:00:00,5702.0
2018-01-16 20:00:00,5592.0
2018-01-16 21:00:00,5514.0
2018-01-16 22:00:00,5099.0
2018-01-16 23:00:00,4775.0
2018-01-17 00:00:00,4335.0
2018-01-17 01:00:00,4235.0
2018-01-17 02:00:00,4030.0
2018-01-17 03:00:00,3916.0
2018-01-17 04:00:00,3828.0
2018-01-17 05:00:00,3779.0
2018-01-17 06:00:00,3947.0
2018-01-17 07:00:00,4264.0
2018-01-17 08:00:00,4658.1
2018-01-17 09:00:00,4756.3
2018-01-17 10:00:00,4618.6
2018-01-17 11:00:00,4549.9
2018-01-17 12:00:00,4520.4
2018-01-17 13:00:00,4587.6
2018-01-17 14:00:00,4383.4
2018-01-17 15:00:00,4474.8
2018-01-17 16:00:00,4428.3
2018-01-17 17:00:00,4674.0
2018-01-17 18:00:00,5573.0
2018-01-17 19:00:00,5995.0
2018-01-17 20:00:00,5826.0
2018-01-17 21:00:00,5686.0
2018-01-17 22:00:00,5203.0
2018-01-17 23:00:00,4951.0
2018-01-18 00:00:00,4558.0
2018-01-18 01:00:00,4331.0
2018-01-18 02:00:00,4144.0
2018-01-18 03:00:00,3966.0
2018-01-18 04:00:00,3848.0
2018-01-18 05:00:00,3805.0
2018-01-18 06:00:00,4048.0
2018-01-18 07:00:00,4491.0
2018-01-18 08:00:00,5002.2
2018-01-18 09:00:00,4970.5
2018-01-18 10:00:00,4808.5
2018-01-18 11:00:00,4757.5
2018-01-18 12:00:00,4807.9
2018-01-18 13:00:00,4886.7
2018-01-18 14:00:00,4759.6
2018-01-18 15:00:00,4846.2
2018-01-18 16:00:00,4892.6
2018-01-18 17:00:00,4811.0
2018-01-18 18:00:00,5421.0
2018-01-18 19:00:00,5839.0
2018-01-18 20:00:00,5784.0
2018-01-18 21:00:00,5668.0
2018-01-18 22:00:00,5308.0
2018-01-18 23:00:00,4951.0
2018-01-19 00:00:00,4720.0
2018-01-19 01:00:00,4546.0
2018-01-19 02:00:00,4343.0
2018-01-19 03:00:00,4179.0
2018-01-19 04:00:00,3940.0
2018-01-19 05:00:00,4047.0
2018-01-19 06:00:00,4181.0
2018-01-19 07:00:00,4294.0
2018-01-19 08:00:00,4437.3
2018-01-19 09:00:00,4312.6
2018-01-19 10:00:00,4239.3
2018-01-19 11:00:00,4233.9
2018-01-19 12:00:00,4247.0
2018-01-19 13:00:00,4414.7
2018-01-19 14:00:00,3923.7
2018-01-19 15:00:00,3924.2
2018-01-19 16:00:00,4086.5
2018-01-19 17:00:00,4102.0
2018-01-19 18:00:00,4960.0
2018-01-19 19:00:00,5581.0
2018-01-19 20:00:00,5424.0
2018-01-19 21:00:00,5399.0
2018-01-19 22:00:00,4862.0
2018-01-19 23:00:00,4553.0
2018-01-20 00:00:00,4333.0
2018-01-20 01:00:00,4102.0
2018-01-20 02:00:00,3981.0
2018-01-20 03:00:00,3923.0
2018-01-20 04:00:00,3797.0
2018-01-20 05:00:00,3763.0
2018-01-20 06:00:00,3958.0
2018-01-20 07:00:00,3951.0
2018-01-20 08:00:00,4471.1
2018-01-20 09:00:00,4652.0
2018-01-20 10:00:00,4472.6
2018-01-20 11:00:00,4553.7
2018-01-20 12:00:00,4672.2
2018-01-20 13:00:00,4689.0
2018-01-20 14:00:00,4499.7
2018-01-20 15:00:00,4557.2
2018-01-20 16:00:00,4578.5
2018-01-20 17:00:00,4717.0
2018-01-20 18:00:00,5574.0
2018-01-20 19:00:00,5817.0
2018-01-20 20:00:00,5727.0
2018-01-20 21:00:00,5664.0
2018-01-20 22:00:00,5158.0
2018-01-20 23:00:00,4720.0
2018-01-21 00:00:00,4458.0
2018-01-21 01:00:00,4288.0
2018-01-21 02:00:00,4237.0
2018-01-21 03:00:00,4081.0
2018-01-21 04:00:00,3984.0
2018-01-21 05:00:00,3944.0
2018-01-21 06:00:00,4159.0
2018-01-21 07:00:00,4576.0
2018-01-21 08:00:00,4735.2
2018-01-21 09:00:00,4867.5
2018-01-21 10:00:00,4574.8
2018-01-21 11:00:00,4584.7
2018-01-21 12:00:00,4764.8
2018-01-21 13:00:00,4745.8
2018-01-21 14:00:00,4585.6
2018-01-21 15:00:00,3911.1
2018-01-21 16:00:00,4153.5
2018-01-21 17:00:00,4344.0
2018-01-21 18:00:00,4960.0
2018-01-21 19:00:00,5550.0
2018-01-21 20:00:00,5492.0
2018-01-21 21:00:00,5178.0
2018-01-21 22:00:00,4892.0
2018-01-21 23:00:00,4460.0
2018-01-22 00:00:00,4153.0
2018-01-22 01:00:00,4052.0
2018-01-22 02:00:00,3809.0
2018-01-22 03:00:00,3756.0
2018-01-22 04:00:00,3564.0
2018-01-22 05:00:00,3548.0
2018-01-22 06:00:00,3780.0
2018-01-22 07:00:00,4091.0
2018-01-22 08:00:00,4536.1
2018-01-22 09:00:00,4608.3
2018-01-22 10:00:00,4591.3
2018-01-22 11:00:00,4586.6
2018-01-22 12:00:00,4698.6
2018-01-22 13:00:00,4666.6
2018-01-22 14:00:00,4477.0
2018-01-22 15:00:00,4500.9
2018-01-22 16:00:00,4465.4
2018-01-22 17:00:00,4589.0
2018-01-22 18:00:00,5207.0
2018-01-22 19:00:00,5426.0
2018-01-22 20:00:00,5601.0
2018-01-22 21:00:00,5579.0
