dt,demand
2019-07-11 01:00:00,7245
2019-07-11 02:00:00,6856
2019-07-11 03:00:00,6733
2019-07-11 04:00:00,6348
2019-07-11 05:00:00,6181.0
2019-07-11 06:00:00,5757.1
2019-07-11 07:00:00,5730.8
2019-07-11 08:00:00,5807.08
2019-07-11 09:00:00,6221.160000000002
2019-07-11 10:00:00,6461.54
2019-07-11 11:00:00,6696.3
2019-07-11 12:00:00,6869.02
2019-07-11 13:00:00,7018.1399999999985
2019-07-11 14:00:00,6455.369999999999
2019-07-11 15:00:00,6231.300000000001
2019-07-11 16:00:00,6347.57
2019-07-11 17:00:00,6196.370000000001
2019-07-11 18:00:00,6239.969999999998
2019-07-11 19:00:00,6904.0
2019-07-11 20:00:00,7404
2019-07-11 21:00:00,7621
2019-07-11 22:00:00,7379
2019-07-11 23:00:00,6926
2019-07-12 00:00:00,6666
2019-07-12 01:00:00,6386
2019-07-12 02:00:00,6241
2019-07-12 03:00:00,6100
2019-07-12 04:00:00,6199
2019-07-12 05:00:00,6046.0
2019-07-12 06:00:00,5578.0
2019-07-12 07:00:00,5416.1100000000015
2019-07-12 08:00:00,5369.9
2019-07-12 09:00:00,5060.9000000000015
2019-07-12 10:00:00,5147.9
2019-07-12 11:00:00,5511.5999999999985
2019-07-12 12:00:00,5611.7
2019-07-12 13:00:00,5621.2
2019-07-12 14:00:00,5437.03
2019-07-12 15:00:00,5355.56
2019-07-12 16:00:00,5170.140000000001
2019-07-12 17:00:00,4946.0
2019-07-12 18:00:00,5169.690000000001
2019-07-12 19:00:00,6060.0
2019-07-12 20:00:00,6859
2019-07-12 21:00:00,7054
2019-07-12 22:00:00,7027
2019-07-12 23:00:00,6593
2019-07-13 00:00:00,6732
2019-07-13 01:00:00,6175
2019-07-13 02:00:00,6016
2019-07-13 03:00:00,6086
2019-07-13 04:00:00,6061
2019-07-13 05:00:00,5936.0
2019-07-13 06:00:00,5583.0
2019-07-13 07:00:00,5513.307000000002
2019-07-13 08:00:00,5450.7
2019-07-13 09:00:00,5917.8
2019-07-13 10:00:00,6144.5999999999985
2019-07-13 11:00:00,5920.4
2019-07-13 12:00:00,6289.2
2019-07-13 13:00:00,6512.3
2019-07-13 14:00:00,6427.1
2019-07-13 15:00:00,6344.3
2019-07-13 16:00:00,5903.2
2019-07-13 17:00:00,5405.8
2019-07-13 18:00:00,5529.4000000000015
2019-07-13 19:00:00,6330.0
2019-07-13 20:00:00,6824
2019-07-13 21:00:00,6725
2019-07-13 22:00:00,6736
2019-07-13 23:00:00,6293
2019-07-14 00:00:00,5931
2019-07-14 01:00:00,5782
2019-07-14 02:00:00,5464
2019-07-14 03:00:00,5127
2019-07-14 04:00:00,4783
2019-07-14 05:00:00,4630.0
2019-07-14 06:00:00,4401.0
2019-07-14 07:00:00,4477.4
2019-07-14 08:00:00,4565.950000000002
2019-07-14 09:00:00,4893.5
2019-07-14 10:00:00,5316.31
2019-07-14 11:00:00,5574.36
2019-07-14 12:00:00,5807.799999999998
2019-07-14 13:00:00,6041.22
2019-07-14 14:00:00,5930.0
2019-07-14 15:00:00,6268.700000000002
2019-07-14 16:00:00,6355.6
2019-07-14 17:00:00,6258.7
2019-07-14 18:00:00,6082.0
2019-07-14 19:00:00,6722.0
2019-07-14 20:00:00,7791
2019-07-14 21:00:00,7883
2019-07-14 22:00:00,7511
2019-07-14 23:00:00,7159
2019-07-15 00:00:00,6533
2019-07-15 01:00:00,6180
2019-07-15 02:00:00,5725
