dt,demand
2021-09-01 00:00:00,8874
2021-09-01 01:00:00,8513
2021-09-01 02:00:00,8446
2021-09-01 03:00:00,8398
2021-09-01 04:00:00,8164
2021-09-01 05:00:00,8011.0
2021-09-01 06:00:00,7689.0
2021-09-01 07:00:00,7224.0
2021-09-01 08:00:00,7115.0
2021-09-01 09:00:00,7400.0
2021-09-01 10:00:00,7982.0
2021-09-01 11:00:00,8094.0
2021-09-01 12:00:00,8015.0
2021-09-01 13:00:00,8075.0
2021-09-01 14:00:00,8088.0
2021-09-01 15:00:00,8292.0
2021-09-01 16:00:00,8055.0
2021-09-01 17:00:00,7978.0
2021-09-01 18:00:00,7823.0
2021-09-01 19:00:00,8859.0
2021-09-01 20:00:00,8942
2021-09-01 21:00:00,9077
2021-09-01 22:00:00,9130
2021-09-01 23:00:00,9144
2021-09-02 00:00:00,8713
2021-09-02 01:00:00,8459
2021-09-02 02:00:00,8390
2021-09-02 03:00:00,8112
2021-09-02 04:00:00,7806
2021-09-02 05:00:00,7659.0
2021-09-02 06:00:00,7113.0
2021-09-02 07:00:00,7065.0
2021-09-02 08:00:00,6929.0
2021-09-02 09:00:00,7271.0
2021-09-02 10:00:00,7654.0
2021-09-02 11:00:00,7795.0
2021-09-02 12:00:00,8052.0
2021-09-02 13:00:00,8060.0
2021-09-02 14:00:00,7961.0
2021-09-02 15:00:00,7946.0
2021-09-02 16:00:00,7950.0
2021-09-02 17:00:00,7858.0
2021-09-02 18:00:00,7855.0
2021-09-02 19:00:00,8907.0
2021-09-02 20:00:00,9009
2021-09-02 21:00:00,9065
2021-09-02 22:00:00,9011
2021-09-02 23:00:00,8928
2021-09-03 00:00:00,8566
2021-09-03 01:00:00,8100
2021-09-03 02:00:00,8072
2021-09-03 03:00:00,7867
2021-09-03 04:00:00,7826
2021-09-03 05:00:00,7608.0
2021-09-03 06:00:00,7189.0
2021-09-03 07:00:00,6757.0
2021-09-03 08:00:00,6477.0
2021-09-03 09:00:00,6457.0
2021-09-03 10:00:00,6456.0
2021-09-03 11:00:00,6691.0
2021-09-03 12:00:00,6951.0
2021-09-03 13:00:00,7209.0
2021-09-03 14:00:00,7095.0
2021-09-03 15:00:00,7397.0
2021-09-03 16:00:00,7115.0
2021-09-03 17:00:00,6965.0
2021-09-03 18:00:00,6707.0
2021-09-03 19:00:00,8354.0
2021-09-03 20:00:00,8791
2021-09-03 21:00:00,9024
2021-09-03 22:00:00,8933
2021-09-03 23:00:00,8871
2021-09-04 00:00:00,8480
2021-09-04 01:00:00,8232
2021-09-04 02:00:00,8169
2021-09-04 03:00:00,7866
2021-09-04 04:00:00,7786
2021-09-04 05:00:00,7617.0
2021-09-04 06:00:00,7372.0
2021-09-04 07:00:00,7246.0
2021-09-04 08:00:00,7143.0
2021-09-04 09:00:00,7127.0
2021-09-04 10:00:00,7330.0
2021-09-04 11:00:00,7216.0
2021-09-04 12:00:00,7480.0
2021-09-04 13:00:00,7789.0
2021-09-04 14:00:00,7757.0
2021-09-04 15:00:00,8165.0
2021-09-04 16:00:00,8006.0
2021-09-04 17:00:00,7619.0
2021-09-04 18:00:00,7801.0
2021-09-04 19:00:00,8908.0
2021-09-04 20:00:00,9160
2021-09-04 21:00:00,9236
2021-09-04 22:00:00,9130
2021-09-04 23:00:00,9045
2021-09-05 00:00:00,8903
2021-09-05 01:00:00,8554
2021-09-05 02:00:00,8476
2021-09-05 03:00:00,8130
2021-09-05 04:00:00,7880
2021-09-05 05:00:00,7708.0
2021-09-05 06:00:00,7341.0
2021-09-05 07:00:00,7043.0
2021-09-05 08:00:00,7224.0
2021-09-05 09:00:00,7701.0
2021-09-05 10:00:00,8187.0
2021-09-05 11:00:00,8292.0
2021-09-05 12:00:00,8233.0
2021-09-05 13:00:00,7781.0
2021-09-05 14:00:00,7824.0
2021-09-05 15:00:00,7986.0
2021-09-05 16:00:00,8159.0
2021-09-05 17:00:00,8289.0
2021-09-05 18:00:00,8269.0
2021-09-05 19:00:00,9050.0
2021-09-05 20:00:00,9089
2021-09-05 21:00:00,9133
2021-09-05 22:00:00,9053
2021-09-05 23:00:00,8684
2021-09-06 00:00:00,8367
2021-09-06 01:00:00,7666
2021-09-06 02:00:00,7772
2021-09-06 03:00:00,7722
2021-09-06 04:00:00,7552
2021-09-06 05:00:00,7514.0
2021-09-06 06:00:00,7195.0
2021-09-06 07:00:00,6915.0
2021-09-06 08:00:00,7015.0
2021-09-06 09:00:00,7463.0
2021-09-06 10:00:00,8112.0
2021-09-06 11:00:00,8285.0
2021-09-06 12:00:00,8365.0
2021-09-06 13:00:00,8368.0
2021-09-06 14:00:00,8283.0
2021-09-06 15:00:00,8336.0
2021-09-06 16:00:00,8213.0
2021-09-06 17:00:00,7935.0
2021-09-06 18:00:00,7992.0
2021-09-06 19:00:00,8984.0
2021-09-06 20:00:00,9175
2021-09-06 21:00:00,9110
2021-09-06 22:00:00,9046
2021-09-06 23:00:00,9045
2021-09-07 00:00:00,8877
2021-09-07 01:00:00,8550
2021-09-07 02:00:00,8353
2021-09-07 03:00:00,8162
2021-09-07 04:00:00,7995
2021-09-07 05:00:00,7890.0
2021-09-07 06:00:00,7200.0
2021-09-07 07:00:00,6951.0
2021-09-07 08:00:00,6899.0
2021-09-07 09:00:00,7213.0
2021-09-07 10:00:00,7494.0
2021-09-07 11:00:00,7794.0
2021-09-07 12:00:00,8052.0
2021-09-07 13:00:00,8095.0
2021-09-07 14:00:00,8036.0
2021-09-07 15:00:00,8172.0
2021-09-07 16:00:00,8024.0
2021-09-07 17:00:00,7768.0
2021-09-07 18:00:00,7462.0
2021-09-07 19:00:00,9014.0
2021-09-07 20:00:00,9101
2021-09-07 21:00:00,9221
2021-09-07 22:00:00,9102
2021-09-07 23:00:00,9005
2021-09-08 00:00:00,8826
2021-09-08 01:00:00,8105
2021-09-08 02:00:00,7931
2021-09-08 03:00:00,7858
2021-09-08 04:00:00,7767
2021-09-08 05:00:00,7687.0
2021-09-08 06:00:00,7107.0
2021-09-08 07:00:00,6925.0
2021-09-08 08:00:00,7008.0
2021-09-08 09:00:00,7351.0
2021-09-08 10:00:00,7567.0
2021-09-08 11:00:00,7886.0
2021-09-08 12:00:00,7977.0
2021-09-08 13:00:00,8094.0
2021-09-08 14:00:00,7935.0
2021-09-08 15:00:00,8193.0
2021-09-08 16:00:00,7874.0
2021-09-08 17:00:00,7559.0
2021-09-08 18:00:00,7765.0
2021-09-08 19:00:00,9135.0
2021-09-08 20:00:00,9157
2021-09-08 21:00:00,9300
2021-09-08 22:00:00,9337
2021-09-08 23:00:00,9290
2021-09-09 00:00:00,8940
2021-09-09 01:00:00,8550
2021-09-09 02:00:00,8258
2021-09-09 03:00:00,8053
2021-09-09 04:00:00,7966
2021-09-09 05:00:00,7763.0
2021-09-09 06:00:00,7209.0
2021-09-09 07:00:00,6849.0
2021-09-09 08:00:00,6936.0
2021-09-09 09:00:00,7386.0
2021-09-09 10:00:00,7714.0
2021-09-09 11:00:00,7924.0
2021-09-09 12:00:00,8291.0
2021-09-09 13:00:00,8372.0
2021-09-09 14:00:00,8329.0
2021-09-09 15:00:00,8408.0
2021-09-09 16:00:00,8298.0
2021-09-09 17:00:00,8051.0
2021-09-09 18:00:00,7856.0
2021-09-09 19:00:00,9194.0
2021-09-09 20:00:00,9345
2021-09-09 21:00:00,9311
2021-09-09 22:00:00,9216
2021-09-09 23:00:00,9159
2021-09-10 00:00:00,9049
2021-09-10 01:00:00,8775
2021-09-10 02:00:00,8618
2021-09-10 03:00:00,8419
2021-09-10 04:00:00,8208
2021-09-10 05:00:00,8056.0
2021-09-10 06:00:00,7407.0
2021-09-10 07:00:00,6806.0
2021-09-10 08:00:00,6617.0
2021-09-10 09:00:00,6628.0
2021-09-10 10:00:00,6702.0
2021-09-10 11:00:00,6852.0
2021-09-10 12:00:00,7128.0
2021-09-10 13:00:00,7488.0
2021-09-10 14:00:00,7413.0
2021-09-10 15:00:00,7493.0
2021-09-10 16:00:00,7047.0
2021-09-10 17:00:00,6712.0
2021-09-10 18:00:00,6892.0
2021-09-10 19:00:00,8207.0
2021-09-10 20:00:00,8688
2021-09-10 21:00:00,8756
2021-09-10 22:00:00,9151
2021-09-10 23:00:00,9051
2021-09-11 00:00:00,8681
2021-09-11 01:00:00,8384
2021-09-11 02:00:00,8123
2021-09-11 03:00:00,7797
2021-09-11 04:00:00,7624
2021-09-11 05:00:00,7408.0
2021-09-11 06:00:00,6766.0
2021-09-11 07:00:00,6670.0
2021-09-11 08:00:00,6434.0
2021-09-11 09:00:00,6925.0
2021-09-11 10:00:00,7210.0
2021-09-11 11:00:00,7492.0
2021-09-11 12:00:00,7943.0
2021-09-11 13:00:00,8428.0
2021-09-11 14:00:00,8316.0
2021-09-11 15:00:00,8619.0
