dt,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23,hour_24
2021-09-13,8449,8349,8099,7991,7933,7294,7053,7010,7165,7392,7704,7817,7980,7928,8086,7991,7660,7624,8815,8851,8917,8739,8682,8582
2021-07-13,8505,8128,7947,7907,7805,7261,6930,6935,7233,7475,7631,7690,7818,7665,7921,7701,7368,6828,7499,8698,8798,8782,8744,8692
2018-12-26,3922,3838,3686,3580,3551,3794,4033.3,4397.599999999999,4676.6,4730.5,4726,4921,4955.2,4761.1,4756.4,4631.2,4783.4,5702,6210,5959,5615,5268,4476,4381
2018-12-25,4336,4130,3958,3869,3798,4091,4168,4448.4,4755.9,4777.9,4931.8,5246.1,5334.7,4953.5,5043.5,4997.8,4951.3,6001,6277,6275,6045,5438,4722,4287
2018-12-24,4415,4068,3892,3814,3809,4163,4346.3,4401.4,4683.1,4759,4894.9,4989.3,5078.5,4704.9,4767.9,4732.400000000001,4810.2,5871,6124,5937,5774,5478,4995,4634
2018-12-23,4425,4115,3948,3898,3818,3976,4116.2,4486.1,4784.33,4788.3,4944.3099999999995,5041.35,5197,4861.3,4950,4801.3,4832.3,6023,6098,6040,5983,5326,4852,4702
2018-12-22,4003,3829,3720,3668,3604,3894,4146.75,4445.9,4669.099999999999,4667.9,4693.099999999999,4765.099999999999,4957.4,4637.900000000001,4726,4654.300000000001,4859.3,5965,6181,6015,5865,5402,4802,4738
2018-12-21,4457,4238,4039,3999,3938,4034,4065,4094.4,4304.9,4226.2,4280.2,4619.1,4554,4101.9,3976.9,4101.4,4128.4,5158,5468,5438,5357,4973,4429,4325
2018-12-20,4355,4119,3891,3851,3766,4050,4306.71,4731.099999999999,4929.8,5099.6,5071.7,5209.2,5141.9,4817.2,4726.599999999999,4742.03,5010.309,5996,6179,6086,5982,5477,4948,4675
2018-12-19,4284,4010,3883,3739,3728,3940,4197,4666.8,4900,4913.7,4971.4,5105.8,5069.5,4800.7,4838.599999999999,4814.3,4938.4,5858,5969,5834,5711,5384,4913,4726
2018-12-18,4070,3836,3544,3260,3113,3128,3373.2,3824.5,4323.9,4330.900000000001,4598.1,4874.700000000001,4870.9,4679.8,4791.900000000001,4795.620000000001,4936,5862,5474,5656,5543,5211,4609,4436
2018-12-17,3945,3714,3605,3471,3452,3575,3896.1,4489.599999999999,4830.400000000001,4894.700000000001,4927.1,5005.8,4926.68,4635.98,4668,4784.219999999999,5148.24,5905,5943,5845,5625,5314,4762,4453
2021-07-12,8602,8201,8021,7973,7890,7415,7201,7224,7456,7684,7673,7933,8081,8143,8310,8292,7642,7243,7822,8822,8963,8931,8940,8855
2018-12-16,4429,4180,3961,3672,3693,3804,3861.1,4063.5,4046.5,4024.5,4131.2,4232.299999999999,4419,4146.8,3963.9,3931.7999999999997,4177.1,5003,5213,5256,5278,4870,4460,4177
2018-12-15,4201,4031,3980,3829,3775,3933,4107,4445,4654,4679,4825,4912.35,5033.59,4850.2,4955.799999999999,4849,5045,5905,6184,5939,5884,5512,4893,4551
2018-12-14,4580,4414,4298,4165,4092,4289,4228.900000000001,4355,4497,4464,4463.349999999999,4585.7,4583,4178.1,4293.7,4159.4,4346,5529,5667,5017,5311,5017,4639,4401
2018-12-13,4512,4258,4050,3968,3943,4195,4354.1,4758.8,4926.4,4848.8,4945.099999999999,5191.8,5111.3,4756.15,4917.910000000001,4875.79,5050.22,6237,6313,6207,5936,5422,5070,4865
2018-12-12,4364,4065,3905,3816,3733,3989,4300.200000000001,4667,4771.700000000001,4754.099999999999,4850.4,4852,4973,4696.9,4658.3,4713.400000000001,4853.229,5865,6058,6046,5841,5482,4994,4727
2018-12-11,4135,3886,3809,3656,3545,3804,4117.21,4512.8,4708.1,4604.3,4671.099999999999,4888.2,4830.7,4572.6,4668.3,4732.299999999999,5001.2,6082,6182,6013,5927,5489,4783,4438
2018-12-10,3938,3740,3610,3498,3546,3785,3898.18,4291,4512,4427.9,4502.5,4693.3,4638,4479,4576.89,4555.82,4712,5880,6144,5999,5843,5312,4682,4265
2018-12-09,4024,3805,3647,3564,3551,3767,3983.42,4405.900000000001,4546.2,4356.8,4420.5,4716.3,4713.9,4367.299999999999,4514.5,4479.8,4828.2,5803,6076,5892,5588,5137,4553,4285
2018-12-08,3700,3525,3395,3355,3326,3835,4072.1,4401.5,4447,4308.1,4184,4373.9,4393.5,4257,4255,4412.84,4682.196,5853,5894,5733,5498,4964,4569,4377
2018-12-07,4221,3960,3837,3699,3593,3803,3678.6,3769.71,3599.21,3613,3704.7,3870.2,4015,3545.2,3605.5,3534.3999999999996,3817.2,4863,5212,5218,5050,4554,4086,3982
2021-07-11,8309,8048,7836,7608,7437,7056,6681,6696,7001,7313,7322,7486,7666,8091,8356,8378,7797,7288,7800,8851,9012,8891,8962,8723
2018-12-06,4031,3824,3691,3682,3707,3926,4021.64,4340.299999999999,4538.2,4491.4,4437,4745.4,4756.099999999999,4519.5,4516.099999999999,4577.8,4836.1,5984,5956,6035,5718,5294,4488,4282
2018-12-04,4177,4039,3839,3821,3737,3982,4296.6,4559,4340.4,4128,4401.1,4703.6,4673.4,4437.3,4408.6,4480.4,4767.2,5830,6082,5867,5618,5305,4613,4158
2018-12-03,4324,4133,4051,3872,3814,4203,4419.1,4761.099999999999,4878.5,4727.400000000001,4900.3,4971.4,4942.900000000001,4675.900000000001,4787.7,4768.7,4979,5993,6164,5974,5790,5274,4687,4222
2018-12-02,4280,4056,3874,3807,3839,3984,4232.700000000001,4544.900000000001,4606.900000000001,4585.7,4679.200000000001,4811,4935.3,4675.6,4647,4625.400000000001,4984,6166,6505,6401,6175,5529,5125,4602
2018-12-01,3963,3678,3582,3507,3499,3782,4062,4313.7,4331.9,4192.7,4286.7,4482.2,4503.099999999999,4381.8,4344.099999999999,4403.299999999999,4820.2,6066,6228,6039,5825,5473,4765,4550
2018-11-30,4538,4270,4082,3861,3816,3914,3811.02,4027,3958.7000000000003,3847.3,3885.8,3948,4241.7,3817.5,3803.5,3592.1000000000004,4212.2,5386,5639,5618,5557,5099,4675,4330
2018-11-29,4460,4310,4204,4017,3944,4214,4436.360000000001,4694.8,4794.6,4871,5034.700000000001,5115,5100,4703.099999999999,4974.400000000001,4942,5255.2,6307,6460,6304,6048,5523,4912,4610
2018-11-28,4484,4406,4146,4026,3988,4245,4512.3,4688.3,4703.1,4521.8,4823.2,5081.3,5040.7,4710.4,4746.7,4748.299999999999,5076.2,6152,6186,6178,5968,5454,5024,4597
2018-11-27,4393,4066,3835,3742,3685,3896,4174.370000000001,4667.8,4726.42,4600.33,4564.78,4872.68,5089.3,4518.47,4724.5,4722.2,4821.16,6078,6131,6131,6128,5448,4790,4428
2021-07-10,8005,7726,7494,7377,7127,6695,6565,6618,6931,7028,7001,7236,7271,7316,7537,7483,7207,6740,7705,8673,8837,8856,8871,8694
2018-11-26,4228,4009,3957,3873,3835,3976,4246.8,4450.9,4594.3,4490.4,4785.9,4877.8,4897.4,4707.4,4712.2,4640.2,4949,6051,6168,6004,5962,5473,4866,4496
2018-11-25,4373,4036,3984,3747,3751,3901,4276,4531.07,4677.099999999999,4598.8,4752.599999999999,4951,5067.299999999999,4851,4951.2,4774.400000000001,5166.2,6169,6145,5995,5826,5317,4763,4434
2018-11-24,4077,3880,3769,3707,3651,3945,4250.5,4597.5,4693.3,4568.400000000001,4579,4743.400000000001,4848.799999999999,4521.1,4564.700000000001,4610.4,4908,6134,6270,6132,5937,5550,4905,4531
2018-11-23,4599,4393,4277,4096,4018,4011,3968.61,4212.5,4156.9,4031.7000000000003,4168.5,4433.400000000001,4592.099999999999,4171.38,4124.2,4014.4100000000003,4249.15,5436,5619,5680,5660,5324,4823,4363
2018-11-22,4381,4118,3988,3859,3749,4102,4336.8,4761.599999999999,4816.2,4688.099999999999,4858.9,5147.900000000001,5280.12,4814.33,5025.15,4924.95,5184.17,6336,6348,6231,6066,5601,5151,4811
2018-11-21,4636,4428,4210,4145,4069,4157,4255,4453.370000000001,4495.3,4455.28,4583.6,4875.2,5020.200000000001,4691.299999999999,4744.2,4690.3,5050.2,5935,6197,6073,5956,5527,4946,4662
2018-11-20,4576,4340,4157,4040,4021,4258,4464.6,4767.3,4919.099999999999,4866.8,4988.1,5244.7,5136.7,4944.4,4937.5,4932.2,5215.1,6317,6388,6449,6127,5646,5146,4757
2018-11-19,4810,4524,4402,4145,4087,4254,4396.98,4761.599999999999,4839,4837.3,5078.099999999999,5464.8,5268.2,5009,5171.6,5077.400000000001,5386.2,6283,6480,6290,6110,5695,5136,4803
2018-11-18,4794,4574,4429,4356,4291,4422,4719.870000000001,4886.8,5114,5093.6,5132.5,5458.6,5485,5071,5189.5,5151.43,5327.15,6525,6841,6724,6528,6074,5330,4979
2018-11-17,4604,4396,4172,4045,3990,4311.1,4428.8,4586.3,4893.6,4752.299999999999,4877.200000000001,5133.8,5212.200000000001,4957.900000000001,5099.3,5080.42,5224.17,6205,6562,6469,6438,6147,5534,5192
2021-07-09,7711,7539,7424,7308,7028,6371,6148,6060,6011,6022,6137,6351,6704,6699,6665,6482,6183,5928,6520,7931,8215,8327,8278,8237
2018-11-16,5143,4902,4524,4384,4419,4482,4253.3,4289.900000000001,4068.4,4002.9,4159.7,4573.8,4660.900000000001,4415.2,4390.2,4349.7,4449.2,5452,6022,5966,5947,5462,5141,4789
2018-11-15,4890,4760,4595,4432,4499,4692,4875,5041.599999999999,5207.8,5221.700000000001,5569.5,5741.3,5872.3,5483.8,5585.6,5562.4,5859.2,6664,6719,6767,6673,6205,5716,5396
2018-11-14,4881,4602,4483,4372,4364,4636.08,4725.58,5031.8,5154.900000000001,5288.599999999999,5488.3,5719.599999999999,5713.200000000001,5407.8,5392,5483.2,5846,6846,6927,6716,6520,6124,5566,5392
2018-11-13,4932,4730,4697,4595,4454,4527,4783.2,4844.799999999999,5059.5,5265.9,5368.1,5590.4,5667.6,5310,5534.299999999999,5481.099999999999,5616.2,6792,6728,6693,6350,5988,5570,5311
2018-11-12,4792,4534,4487,4421,4372,4613.33,4853.82,4787,5005,5174.01,5401.97,5569.1,5692.1,5440.7,5571.860000000001,5545,5846.21,6740,6742,6571,6378,5947,5679,5312
2018-11-11,4554,4412,4354,4374,4387,4478,4640.3,4540.7,4758.099999999999,4897.3,5032.1,5392.200000000001,5644.799999999999,5586.2,5518.799999999999,5380.1,5512.2,6763,6731,6420,6111,5773,5446,5066
2018-11-10,4253,4184,3966,3861,3849,4055.1,4553.557,4471.3,4571.4,4725.2,4758.8,5165,5147.1,4791.700000000001,5033.7,5096.4,5307.2,6671,6542,6485,6179,5855,5299,5013
2018-11-08,4761,4513,4461,4472,4398,4428.52,4639.1,4582.6,4775.3,4970.7,5136.6,5490.1,5564.900000000001,5359,5475.42,5303.9,5461.27,6703,6587,6511,6482,5940,5480,5045
2018-11-07,5247,4855,4730,4676,4613,4568.6,4684.200000000001,4679.75,4830.3,5024.17,5167.94,5413.610000000001,5528.46,4749,5124.400000000001,5328.5,5593.23,6681,6819,6467,6341,5873,5528,5192
2018-11-06,5122,4897,4746,4577,4626,4718.5,4576.8,4647.610000000001,4957.650000000001,5332.9,5314.1,5613.67,5504.900000000001,5416.5,5658.7,5619.599999999999,5699.3,7110,7301,6945,6643,6290,5826,5509
2021-07-08,7366,7197,6772,6700,6558,6120,5968,6102,6445,6682,6905,7076,7166,7122,7367,7257,6954,6536,7040,8225,8472,8404,8319,8207
2018-11-05,5163,4898,4813,4682,4687,4748.1,4832.9,4963.5,5044.2,5360.4,5714.4,5991,5957.5,5779,6018.5,5751.599999999999,5716.2,6974,6433,6031,6132,5884,5780,5532
2018-11-04,5482,5157,4879,4917,4916,4925.18,5073.1,5080.3,5207,5296.5,5649.599999999999,5855.5,5933.6,5809.5,5857.4,5881.9,5772.3,6821,7168,6801,6764,6428,5995,5413
2018-11-03,4876,4778,4638,4420,4457,4511.1,4575.8,4939.5,5161.4,5210.2,5700.6,5810.7,5842.5,5660.849999999999,5760.2,5712.5,5857.27,6989,7036,6759,6795,6453,6097,5833
2018-11-02,5141,4979,4908,4727,4633,4505.2,4372.3,4429.59,4381.72,4464.72,4680.02,4846.2,5062.28,4955.8,5041.3,4772.5,4755.77,5946,6237,6328,6253,5977,5560,5276
2018-11-01,4857,4695,4635,4522,4536,4537.2,4662.4,4823.299999999999,5116.7,5550.1,5697.3,5777.3,5887.5,5840.8,5930.2,5780.1,5751.3,6914,6969,6801,6556,6350,6077,5671
2018-10-31,4654,4484,4305,4214,4249,4271,4546,4794.5,4882.8,5126.400000000001,5284.400000000001,5452.2,5527.900000000001,5421.1,5519,5361.7,5450.8,6655,6655,6478,6291,6030,5760,5335
2018-10-30,4497,4268,4105,4042,4088,4134,4394,4727,4763,4890,5037,5146,5305,5133,5349,5237,5279,6338,6386,6303,6228,5776,5370,5071
2018-10-29,4337,4104,4031,4033,4039,4066,4338.3,4504,4503.599999999999,4807.1,4883,5094,5099,5002.39,5080.38,5071.089999999999,5171.03,6144,6079,5908,5863,5465,5091,4815
2018-10-28,5515,5116,4816,4595,4487,4406.53,4604.9400000000005,4636.59,4808,4967.37,5031.6,5113,5087.62,4852.6,4937.7,4977.7699999999995,5195.04,6173,6112,5985,5886,5642,5217,4860
2018-10-27,4756,4506,4612,4416,4356,4355.5,4467.5,4752.8,4922.4,4910.8,5176.8,5435.2,5815.2,6104.5,6397,6329.4,6206,7175,6955,6819,6650,6340,5919,5773
2021-07-07,7590,7371,7269,6994,6819,6230,6141,6336,6885,6955,6903,7013,6997,6942,6898,6757,6205,5995,6809,7776,7790,7843,7773,7652
2018-10-26,5019,4991,4872,4723,4545,4413,4531,4601.4,4521,4484.2,4669.8,5053.9,5093.2,4729.1,4872.700000000001,4658.5,4665.7,5741,6091,6128,6169,5749,5380,4936
2018-10-25,5576,5238,4990,4815,4825,4794.5,4863.3,5010.6,5213.900000000001,5345.7,5588.599999999999,5872.900000000001,6032.4,5751.400000000001,6104.2,5937.2,5946.5,7049,7036,6656,6426,6145,5808,5506
2018-10-24,5593,5236,5099,4970,4971,4846.5,4799.900000000001,5026.2,5297.3,5537.7,5751.7,6027.9,6089.3,5993,6115.59,5941,5917,7105,7065,6832,6649,6472,6133,5898
2018-10-23,5633,5482,5224,5179,5128,4805.7,4728.400000000001,4967,5212,5543.7,5732,5986,6077,6117,6192,6028,6007.49,7201,7278,7016,6922,6555,6217,5917
2018-10-22,5634,5365,5190,5013,4917,4893.4,4834.8,4863.900000000001,5191.7,5407.7,5600.9,6049,6098,6118.8,6209.8,6004.3,6032.6,7011,7261,7074,6900,6568,6247,6029
2018-10-21,5993,5675,5444,5378,5266,4992,4925,4617.4,5222.5,5710.700000000001,5905.9,6145.9,6166.7,6079.2,6360.2,6208.799999999999,6235.6,7203,7327,7152,7010,6743,6425,6101
2018-10-20,5308,5241,5105,4902,4798,4614,4639,4788,5209,5377,5433,5546.759999999999,5552.8,5777,5593.6,5699.7,5614.5,6614,7069,7094,6825,6595,6384,6139
2018-10-19,5565,5282,5105,4898,4739,4444.8,4269.3,4271,4330.599999999999,4549.900000000001,4669.6,4856.4,5063.7,4716.6,4885.320000000001,4732.96,4530.75,5922,6398,6444,6304,6096,5956,5655
2018-10-18,5383,5069,4867,4725,4627,4474.7,4533.7,4661.099999999999,5185.71,5381,5770,5977.8,5989.4400000000005,5783.3,5967,5858.299999999999,5704.8,6754,7051,6991,6822,6498,6129,5895
2018-10-17,5417,5042,4973,4625,4537,4416.8,4458.7,4685,5140,5150.4,5475.9,5778.8,6014,5915.5,5869.5,5632.8,5529.7,6859,7060,6682,6502,6330,5962,5748
2021-07-06,7571,7367,7184,7137,7057,6506,6353,6329,6518,6844,7090,7310,7440,7379,7459,7230,6950,6727,7459,8278,8373,8297,8110,7918
2018-10-16,5500,5247,5062,4840,4770,4639,4767,4915.4,5358.5,5418.099999999999,5623.900000000001,5747.1,5757.9,5684.2,5787.8,5721.8,5557.7,6734,6994,6838,6571,6158,5912,5632
2018-10-15,5162,4900,4849,4703,4613,4482,4433.400000000001,4700.2,4962.2,5219.799999999999,5565.8,5923.3,5970.8,5808.900000000001,6162.599999999999,5982.200000000001,5838,6868,7163,6947,6786,6577,6280,6019
2018-10-14,4810,4499,4403,4224,4235,4276,4396.3,4532.5,4701.6,4855.5,4986,5289.4,5372.7,5347,5495.8,5428.71,5309.71,6556,6590,6488,6273,6188,5976,5568
2018-10-13,4589,4398,4229,4118,3995,3858,3853.7,4430,4794,4731.71,5051.620000000001,5211.17,5336.1900000000005,5027.95,5172.2,5108.22,5284.67,6174,6311,6275,6195,5856,5529,5029
2018-10-12,5337,5216,5055,4825,4738,4436.6,4262.6,4273.55,4091.94,4040.67,4192.219999999999,4336.099999999999,4458.01,4212.2,4209.7,4143.4,4252,5438,5639,5767,5546,5236,4918,4704
2018-10-11,5507,5305,5056,4940,4878,4660,4417.4,4486.4,4841.7,4960.599999999999,5127.900000000001,5185.3,5207.9,5045.8,5082.2,5168.8,5314.1,6199,6350,6257,6081,5876,5546,5348
2018-10-10,6723,6488,6102,5562,5489,5162,5025.2,5110,5312.3,5598.2,5846.1,5888,5992.5,5825.6,6040,5724.4,5672.1,6685,6995,7065,6822,6403,6040,5880
2018-10-09,7083,6769,6579,6409,5994,5585.1,5437.8,5568.7,5777.2,5928.9,6130.5,6410.099999999999,6584.2,6646.6,6831.3,6724.7,6460.320000000001,7492,7846,7705,7559,7477,7158,6914
2018-10-08,7346,6949,6770,6646,6248,5748.71,5571.8,5464.9,6080.95,6426,6713.3,6783.3,6859.299999999999,6697.6,6884.2,6671.900000000001,6442.65,7497,7986,7683,7356,7387,7177,7235
2018-10-07,7360,7101,6908,6618,6468,6018.45,5668.7,5656.8,6119.4,6306,6752.900000000001,6841.3,6967.4,6989.700000000001,7180.6,7176.4,6826.6,7600,8219,8157,8029,7816,7627,7515
2021-07-05,6822,6744,6514,6401,6320,5897,5881,6014,6280,6650,6904,7083,7199,7206,7410,7309,6911,6518,7246,8197,8499,8406,8151,8009
2018-10-06,7239,6930,6730,6490,6457,5830,5656.3,5586.8,6167.7,6389.7,6539.9,6781.1,6934.400000000001,6690.700000000001,6983,6842.900000000001,6480.6,7423,8196,8074,8016,7872,7719,7687
2018-10-05,7407,7344,7144,7081,6926,6430.04,5686.400000000001,5647,5612,5737,5882,6196,6184.1,6101.900000000001,6377.5,6175.8,5827.6,6613,7330,7459,7540,7529,7514,7453
2018-10-04,7151,6925,6855,6702,6398,6101.16,5822.8,5799,6284.3,6684.7,6896.9,7065.9,7056.4,6923,7317,6893,6599.200000000001,7332,8145,7987,7790,7730,7580,7422
2018-10-03,7390,7249,7068,6806,6680,6325.2,5813.8,5617,6093.7,6402.4,6684.2,6942.1,6977,6899.8,7118,7111.7,6899.599999999999,7472,8156,7956,8062,7812,7663,7530
2018-10-02,7411,7282,7053,6799,6667,6291,5984.4,6033.06,6430.1,6523.9,6687.200000000001,6797.2,6998.6,6863.1,7137.900000000001,7104.1,6756.9,7418,8207,8106,8053,7928,7852,7588
2018-10-01,7497,7267,7051,6876,6879,6377,6288,6490.9,7014,7218.099999999999,7561.6,7373,7571.1,7393.400000000001,7858,7573.4,6917.5,7401,7962,7799,7572,7620,7540,7556
